País,Agricultura,Indústria,Serviços,Nota
Oman,"1.8","46.4","51.8",
Pakistan,"24.4","19.1","56.5",
Palau,3,19,78,
Panama,"2.4","15.7",82,
Papua New Guinea,"22.1","42.9",35,
Paraguay,"17.9","27.7","54.5",
Peru,"7.6","32.7","59.9",
Philippines,"9.6","30.6","59.8",
Poland,"2.4","40.2","57.4",
Portugal,"2.2","22.1","75.7",
Puerto Rico,"0.8","50.1","49.1",
Qatar,"0.2","50.3","49.5",
Romania,"4.2","33.2","62.6",
Russia,"4.7","32.4","62.3",
Rwanda,"30.9","17.6","51.5",
"Saint Helena, Ascension, and Tristan da Cunha",0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
Saint Kitts and Nevis,"1.1",30,"68.9",
Saint Lucia,"2.9","14.2","82.8",
Saint Martin,1,15,84,
Saint Pierre and Miquelon,2,15,83,
Saint Vincent and the Grenadines,"7.1","17.4","75.5",
Samoa,"10.4","23.6",66,
San Marino,"0.1","39.2","60.7",
Sao Tome and Principe,"11.8","14.8","73.4",
Saudi Arabia,"2.6","44.2","53.2",
Senegal,"16.9","24.3","58.8",
Serbia,"9.8","41.1","49.1",
Seychelles,"2.5","13.8","83.7",
Sierra Leone,"60.7","6.5","32.9",
Singapore,0,"24.8","75.2",
Sint Maarten,"0.4","18.3","81.3",
Slovakia,"3.8",35,"61.2",
Slovenia,"1.8","32.2","65.9",
Solomon Islands,"34.3","7.6","58.1",
Somalia,"60.2","7.4","32.5",
South Africa,"2.8","29.7","67.5",
Spain,"2.6","23.2","74.2",
Sri Lanka,"7.8","30.5","61.7",
Sudan,"39.6","2.6","57.8",
Suriname,"11.6","31.1","57.4",
Sweden,"1.6",33,"65.4",
Switzerland,"0.7","25.6","73.7",
Syria,20,"19.5","60.8",
Taiwan,"1.8",36,"62.1",
Tajikistan,"28.6","25.5","45.9",
Tanzania,"23.4","28.6","47.6",
Thailand,"8.2","36.2","55.6",
Timor-Leste,"9.1","56.7","34.4",
Togo,"28.8","21.8","49.8",
Tokelau,0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
Tonga,"19.9","20.3","59.8",
Trinidad and Tobago,"0.4","47.8","51.7",
Tunisia,"10.1","26.2","63.8",
Turkey,"6.8","32.3","60.7",
Turkmenistan,"7.5","44.9","47.7",
Turks and Caicos Islands,"0.5","8.9","90.6",
Tuvalu,"24.5","5.6",70,
Uganda,"28.2","21.1","50.7",
Ukraine,"12.2","28.6",60,
United Arab Emirates,"0.9","49.8","49.2",
United Kingdom,"0.7","20.2","79.2",
United States,"0.9","19.1",80,
Uruguay,"6.2","24.1","69.7",
Uzbekistan,"17.9","33.7","48.5",
Vanuatu,"27.3","11.8","60.8",
Venezuela,"4.7","40.4","54.9",
Vietnam,"15.3","33.3","51.3",
Virgin Islands,2,20,78,
Wallis and Futuna,0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
West Bank,"2.9","19.5","77.6",excludes Gaza Strip
Western Sahara,0,0,40,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA
World,"6.4",30,63,
Yemen,"20.3","11.8","67.9",
Zambia,"7.5","35.3",57,
Zimbabwe,12,"22.2","65.8",
