Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
55,00.004.309/0001-50,,DF VEICULOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
57,00.005.063/0001-30,,INSTRUVAL INSTRUMENTOS E SERVICOS LTDA,Sim,,70777: São Caetano do Sul,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2829199: FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS",,Sim
59,00.005.103/0001-44,,TRANSVOLTEC ILUMINACAO LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2610800: FABRICAÇÃO DE COMPONENTES ELETRÔNICOS,,Sim
63,00.005.644/0001-72,,RIGEL COMERCIO DE INFORMATICA LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4651601: COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA,,Sim
65,00.005.880/0001-99,,BIOQUIMICA SUPRIMENTOS ANALITICOS LTDA,Não,,63614: Cotia,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4664800: COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO ODONTO-MÉDICO-HOSPITALAR; PARTES E PEÇAS",,Sim
66,00.005.949/0001-84,,EDITORA E DISTRIBUIDORA SUPLEGRAF LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,5811500: EDIÇÃO DE LIVROS,,Sim
70,00.006.878/0001-34,,ITAU UNIBANCO SERVICOS E PROCESSAMENTO DE INFORMACOES COMERCIAIS LTDA.,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8299799: OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,,Sim
71,00.006.879/0001-89,,COMPACTA COMERCIO E SERVICOS LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4751201: COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA,,Sim
86,00.008.152/0001-30,,OPT MEDICAL LTDA,Sim,,61638: Araraquara,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,3312104: MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS,,Sim
88,00.008.354/0001-82,,BIOSENSOR INDUSTRIA E COMERCIO LTDA,Sim,,61310: Americana,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3250701: FABRICAÇÃO DE INSTRUMENTOS NÃO-ELETRÔNICOS E UTENSÍLIOS PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO",,Sim
90,00.008.456/0001-06,,LOPES GAMA COMERCIO LOCACAO E SERVICOS LTDA,Não,,62910: Campinas,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"7739099: ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",,Sim
92,00.008.673/0001-98,,JAGUAR EQUIPAMENTOS ELETRO INDUSTRIAL LTDA,Sim,,63770: Diadema,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3313999: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE",,Sim
93,00.009.000/0001-52,,CONSULENZA FOTOCOPIAS LTDA,Sim,,66192: Jundiai,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8219901: FOTOCÓPIAS,,Sim
94,00.009.282/0001-98,,CONSERVO BRASILIA SERVICOS TECNICOS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8211300: SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,,Sim
96,00.009.837/0001-00,,"M F - CONSTRUCOES, INCORPORADORA, COMERCIO E REPRESENTACOES LTD",Sim,,92274: Aparecida de Goiânia,GO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
104,00.010.572/0001-51,,OLITELI PROJETOS E CONSTRUCOES LTDA,Não,,62219: Bebedouro,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
105,00.011.009/0001-06,,"FIBRAFORTE ENGENHARIA, INDUSTRIA E COMERCIO LTDA",Sim,,70998: São José dos Campos,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7112000: SERVIÇOS DE ENGENHARIA,,Sim
106,,***.110.663-**,MARCOS JOSE NUNES DE ARAUJO,Sim,,12653: Ocara,CE,,1: MICROEMPRESA,,,,,Sim
107,,***.110.793-**,SILVIA LEMOS MARTINS,Sim,,13897: Fortaleza,CE,,1: MICROEMPRESA,,,,,Sim
108,00.011.295/0001-00,,TECNOPONTA TREINAMENTOS LTDA,Sim,,70718: Santos,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8599603: TREINAMENTO EM INFORMÁTICA,,Sim
109,00.011.295/0002-82,,TECNOPONTA TREINAMENTOS LTDA,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8599603: TREINAMENTO EM INFORMÁTICA,,Sim
112,00.012.377/0001-60,,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,Sim,,95710: Rio Verde,GO,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"1041400: FABRICAÇÃO DE ÓLEOS VEGETAIS EM BRUTO, EXCETO ÓLEO DE MILHO",,Sim
116,00.013.047/0001-90,,JJR SERVICOS DE APOIO ADMINISTRATIVO LTDA,Sim,,62910: Campinas,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8211300: SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,,Sim
117,,***.135.071-**,LIDIANE CRISTINA ZUANAZZI,Sim,,89850: Sinop,MT,,1: MICROEMPRESA,,,,,Sim
118,00.013.631/0001-45,,ROYAL PNEUS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810201: COMPRA E VENDA DE IMÓVEIS PRÓPRIOS,,Sim
119,00.013.698/0001-80,,TRIPS PASSAGENS E TURISMO LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7911200: AGÊNCIAS DE VIAGENS,,Sim
120,00.013.805/0001-70,,INDUSPINA AUTO PECAS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4530703: COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,Sim
127,00.014.449/0001-09,,NAME ADMINISTRACAO DE IMOVEIS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810202: ALUGUEL DE IMÓVEIS PRÓPRIOS,,Sim
131,00.015.305/0001-77,,CASA SAO LUIZ FERRAGENS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789099: COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
134,00.015.892/0001-02,,UNISILK INDUSTRIA E COMERCIO DE BRINDES LTDA,Não,,70750: São Bernardo do Campo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3299002: FABRICAÇÃO DE CANETAS, LÁPIS E OUTROS ARTIGOS PARA ESCRITÓRIO",,Sim
135,,***.159.687-**,JUSTA FERNANDA MOUTINHO MONTEIRO,Não,,58572: Miguel Pereira,RJ,,1: MICROEMPRESA,,,,,Sim
138,00.016.576/0001-47,,BASEVI CONSTRUCOES S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4213800: OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",,Sim
139,,***.166.590-**,RAUL LISBOA BERGALLO,Não,,88013: Porto Alegre,RS,,1: MICROEMPRESA,,,,,Sim
140,00.017.332/0001-89,,BLACK BOX DO BRASIL IND E COM LTDA,Sim,,62138: Barueri,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4651601: COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA,,Sim
144,00.017.436/0001-93,,DISTRIBUIDORA MEDICO HOSPITALAR HOSPIMETAL LTDA,Sim,,61557: Araçatuba,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4645101: COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS",,Sim
148,00.018.127/0001-38,,TOCANTINS TRANSPORTE E TURISMO LTDA,Sim,,97330: Palmas,TO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4922102: TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERESTADUAL",,Sim
150,00.018.675/0001-68,,VISUAL SINALIZACAO VIARIA E CONSTRUCOES LTDA,Sim,,64777: Guarulhos,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7112000: SERVIÇOS DE ENGENHARIA,,Sim
152,00.018.938/0001-39,,ARGENTIA DISTRIBUIDORA DE MEDICAMENTOS LTDA.,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4644301: COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO,,Sim
153,,***.189.858-**,MOACIR DE SANTI,Sim,,71072: São Paulo,SP,,1: MICROEMPRESA,,,,,Sim
154,,***.189.933-**,SAMUEL DE SOUSA SILVA,Sim,,12777: Tejuçuoca,CE,,1: MICROEMPRESA,,,,,Sim
158,00.019.628/0001-39,,ARTEPASTA IND COM LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1749400: FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE",,Sim
160,00.020.298/0001-00,,PLANO DIGITAL COMUNICACAO LTDA,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6202300: DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZÁVEIS,,Sim
164,00.020.621/0001-37,,"PLANETA AZUL INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE ESPECIALIDADES QUIM",Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2061400: FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS,,Sim
165,00.020.777/0001-18,,CESVI-BRASIL CENTRO DE EXPERIMENTACAO E SEGURANCA VIARIA LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8299799: OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,,Sim
169,00.021.138/0001-77,,MULTITEC COMERCIO DE MOVEIS LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4754701: COMÉRCIO VAREJISTA DE MÓVEIS,,Sim
171,00.021.279/0001-90,,PIONEIRA DA BORRACHA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4713002: LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES",,Sim
172,,***.216.116-**,ANDREI ALKMIM TEIXEIRA,Sim,,50490: Pouso Alegre,MG,,1: MICROEMPRESA,,,,,Sim
175,00.022.090/0001-11,,SLG COMERCIO DE SISTEMAS DE AUTOMACAO LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4322302: INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO",,Sim
176,00.022.244/0001-75,,COPOCENTRO INDUSTRIA DE PLASTICOS LTDA FALIDO,Sim,,92215: Anápolis,GO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2229301: FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USO PESSOAL E DOMÉSTICO,,Sim
178,00.022.488/0001-58,,REAL TOOLS COMERCIAL LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744001: COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,,Sim
181,00.023.280/0001-53,,CAPITOLIO COM REPR IMPORTACAO E EXPORTACAO LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4652400: COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,,Sim
183,00.023.577/0001-19,,TECNOLIGHT COMERCIO DE PRODUTOS ELETROELETRONICA LTDA,Não,,70750: São Bernardo do Campo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4742300: COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,,Sim
192,00.024.651/0001-11,,THAMA'S TRANSPORTES LTDA,Não,,63118: Caraguatatuba,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4930202: TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",,Sim
197,00.025.222/0001-69,,GEIGER MENDES COMERCIAL LTDA,Sim,,63770: Diadema,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4663000: COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL; PARTES E PEÇAS,,Sim
202,00.025.841/0001-53,,HOSPITAL SANTA LUCIA S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,8610102: ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGÊNCIAS,,Sim
204,00.026.248/0001-21,,DENIMEX SUPRIMENTOS PARA IMPRESSAO E AUTOMACAO LTDA,Sim,,71579: Taboão da Serra,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4647801: COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA,,Sim
205,00.026.315/0001-08,,"MAZZA, FREGOLENTE & CIA - ELETRICIDADE E CONSTRUCOES LTDA",Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
206,,***.263.171-**,PAULO RICARDO PRIORI,Sim,,94331: Jataí,GO,,1: MICROEMPRESA,,,,,Sim
209,00.026.572/0001-40,,RECPAZ TRANSPORTES E TURISMO LTDA,Sim,,62910: Campinas,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4929902: TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",,Sim
210,00.026.893/0001-44,,MONTEX COMERCIAL EXPORTADORA E IMPORTADORA LTDA,Não,,70998: São José dos Campos,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4619200: REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO,,Sim
213,,***.272.510-**,IDALINO CARLIN,Não,,88013: Porto Alegre,RS,,1: MICROEMPRESA,,,,,Sim
216,00.027.571/0001-10,,ASSIST CARD DO BRASIL LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7911200: AGÊNCIAS DE VIAGENS,,Sim
217,00.027.656/0001-06,,CCM CENTRO COMERCIAL DE MOVEIS LTDA,Não,,93734: Goiânia,GO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4693100: COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINÂNCIA DE ALIMENTOS OU DE INSUMOS AGROPECUÁRIOS",,Sim
218,00.027.681/0001-81,,RICHARDSON ELECTRONICS DO BRASIL LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4652400: COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,,Sim
223,00.027.896/0001-00,,ASSOCIACAO DE CULTURA FRANCO BRASILEIRA DE BRASILIA,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8593700: ENSINO DE IDIOMAS,,Sim
224,00.027.917/0001-80,,ENDEAVOUR SOFTWARE SOLUTIONS LTDA,Sim,,61310: Americana,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6201501: DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA,,Sim
226,00.028.682/0001-40,,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4645101: COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS",,Sim
228,00.028.876/0001-46,,VIDEOJET DO BRASIL COMERCIO DE EQUIPAMENTOS PARA CODIFICACAO INDUSTRIAL LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4663000: COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL; PARTES E PEÇAS,,Sim
229,00.028.986/0001-08,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
230,00.028.986/0003-70,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,2550: Manaus,AM,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4712100: COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",,Sim
231,00.028.986/0004-50,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,38490: Salvador,BA,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3314708: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS",,Sim
232,00.028.986/0005-31,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,13897: Fortaleza,CE,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
233,00.028.986/0006-12,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
